,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
0,남산공원(회현),안중근 기념관 옆,스텝사이클,1,남삼회현-1(안중근기념관옆)-1,중부공원녹지사업소
50,남산공원(회현),용암천,스텝사이클,1,남삼회현-6(용암천)-10,중부공원녹지사업소
56,남산공원(회현),기억의 터 위,스텝사이클,1,남삼회현-7(기억의터)-3,중부공원녹지사업소
60,남산공원(회현),기억의 터 위,스텝사이클,1,남삼회현-7(기억의터)-7,중부공원녹지사업소
93,남산공원(팔각),감로천 체육회,스텝사이클,1,남산팔각-2(감로천)-12,중부공원녹지사업소
339,간데메공원,연못 분수대 옆,스텝사이클,1,간데메-10(연못분수대옆)-3,중부공원녹지사업소
492,북서울꿈의숲,어린이 놀이터옆,스텝사이클,1,북서울꿈의숲-19(어린이 놀이터옆)-1,중부공원녹지사업소
543,보라매공원,반려견놀이터 옆,스텝사이클,1,보라매공원-6(반려견놀이터 옆)-1,동부공원녹지사업소
780,경의선숲길공원,대흥동구간,스텝사이클,1,경의선숲길공원-4(대흥)-5,서부공원녹지사업소
783,경의선숲길공원,새창고개구간,스텝사이클,1,경의선숲길공원-6(새창)-3,서부공원녹지사업소
1917,서울대공원,관리사무소 앞,스텝사이클,1,서울대공원-1(관리사무소)-13,서울대공원
